station_abbr,reference_timestamp,ths2dymn,ths2dymx,ths200m0,th9120mv,th91dnmv,th91dxmv,ths00nm0,pva2hsm0,ths25xm0,pv9120mv,ths00xm0,ths20nm0,thl200mx,phsstam0,thl200mn,ph9120mv,ths30xm0,xhs000m0,fhs010m0,fh9120mv,rhs001m0,ths35xm0,rhs150m0,rh9120mv,ghs000m0,gh9120mv,shs000m0,sh9120mv,xhs00om0,xhs012m0
ALT,01.08.1947 00:00,13.3,,19.2,0.7,-0.1,,,,,,,,,,,,,,,,,,124.8,81,,,,,,
ALT,01.09.1947 00:00,10.0,,16.0,1.3,0.1,,,,,,,,,,,,,,,,,,50.6,48,,,,,,
ALT,01.10.1947 00:00,4.9,,9.3,-1.4,-1.4,,,,,,,,,,,,,,,,,,26.5,31,,,,,,
ALT,01.11.1947 00:00,1.7,,6.1,0.4,-0.1,,,,,,,,,,,,,,,,,,225.4,278,,,,,,
ALT,01.12.1947 00:00,-2.3,,1.5,-0.8,-1.0,,,,,,,,,,,,,,,,,,107.0,128,,,,,,
ALT,01.01.1948 00:00,-0.3,,4.4,2.8,1.8,,,,,,,,,,,,,,,,,,109.7,157,,,,,,
ALT,01.02.1948 00:00,-1.2,,3.0,0.6,0.6,,,,,,,,,,,,,,,,,,98.7,167,,,,,,
ALT,01.03.1948 00:00,1.2,,7.2,1.1,0.1,,,,,,,,,,,,,,,,,,38.2,53,,,,,,
ALT,01.04.1948 00:00,4.1,,10.1,0.2,-0.3,,,,,,,,,,,,,,,,,,38.3,47,,,,,,
ALT,01.05.1948 00:00,8.5,,14.6,0.6,-0.1,,,,,,,,,,,,,,,,,,34.5,29,,,,,,
ALT,01.06.1948 00:00,9.8,,15.3,-2.0,-2.2,,,,,,,,,,,,,,,,,,152.7,111,,,,,,
ALT,01.07.1948 00:00,9.3,,14.7,-4.2,-4.4,,,,,,,,,,,,,,,,,,211.3,150,,,,,,
ALT,01.08.1948 00:00,12.0,,17.0,-1.5,-1.4,,,,,,,,,,,,,,,,,,88.4,58,,,,,,
ALT,01.09.1948 00:00,8.4,,13.6,-1.1,-1.5,,,,,,,,,,,,,,,,,,117.6,112,,,,,,
ALT,01.10.1948 00:00,5.3,,9.6,-1.1,-1.0,,,,,,,,,,,,,,,,,,37.9,45,,,,,,
ALT,01.11.1948 00:00,0.7,,4.3,-1.4,-1.1,,,,,,,,,,,,,,,,,,21.0,26,,,,,,
ALT,01.12.1948 00:00,-3.0,,1.1,-1.2,-1.7,,,,,,,,,,,,,,,,,,37.1,44,,,,,,
ALT,01.01.1949 00:00,-3.0,,0.7,-0.9,-0.9,,,,,,,,,,,,,,,,,,106.7,153,,,,,,
ALT,01.02.1949 00:00,-3.8,,0.8,-1.6,-2.0,,,,,,,,,,,,,,,,,,23.8,40,,,,,,
ALT,01.03.1949 00:00,-2.0,,3.2,-2.9,-3.1,,,,,,,,,,,,,,,,,,55.0,76,,,,,,
ALT,01.04.1949 00:00,5.1,,11.2,1.3,0.7,,,,,,,,,,,,,,,,,,96.5,119,,,,,,
ALT,01.05.1949 00:00,6.9,,11.6,-2.4,-1.7,,,,,,,,,,,,,,,,,,81.9,70,,,,,,
ALT,01.06.1949 00:00,10.4,,16.3,-1.0,-1.6,,,,,,,,,,,,,,,,,,84.7,61,,,,,,
ALT,01.07.1949 00:00,12.4,,19.1,0.2,-1.3,,,,,,,,,,,,,,,,,,74.6,53,,,,,,
ALT,01.08.1949 00:00,11.6,,17.5,-1.0,-1.8,,,,,,,,,,,,,,,,,,106.5,69,,,,,,
ALT,01.09.1949 00:00,11.3,,16.6,1.9,1.4,,,,,,,,,,,,,,,,,,86.1,82,,,,,,
ALT,01.10.1949 00:00,6.3,,11.0,0.3,0.0,,,,,,,,,,,,,,,,,,34.3,41,,,,,,
ALT,01.11.1949 00:00,0.8,,4.8,-0.9,-1.0,,,,,,,,,,,,,,,,,,74.4,92,,,,,,
ALT,01.12.1949 00:00,-1.4,,2.8,0.5,-0.1,,,,,,,,,,,,,,,,,,65.0,78,,,,,,
ALT,01.01.1950 00:00,-3.1,,0.3,-1.3,-1.0,,,,,,,,,,,,,,,,,,112.7,161,,,,,,
ALT,01.02.1950 00:00,-0.9,,3.7,1.3,0.9,,,,,,,,,,,,,,,,,,100.0,169,,,,,,
ALT,01.03.1950 00:00,0.5,,5.6,-0.5,-0.6,,,,,,,,,,,,,,,,,,30.6,42,,,,,,
ALT,01.04.1950 00:00,2.1,,7.4,-2.5,-2.3,,,,,,,,,,,,,,,,,,111.0,137,,,,,,
ALT,01.05.1950 00:00,8.6,,14.6,0.6,0.0,,,,,,,,,,,,,,,,,,80.6,69,,,,,,
ALT,01.06.1950 00:00,12.3,,18.2,0.9,0.3,,,,,,,,,,,,,,,,,,98.4,71,,,,,,
ALT,01.07.1950 00:00,14.3,,19.8,0.9,0.6,,,,,,,,,,,,,,,,,,129.5,92,,,,,,
ALT,01.08.1950 00:00,12.6,,17.5,-1.0,-0.8,,,,,,,,,,,,,,,,,,123.9,81,,,,,,
ALT,01.09.1950 00:00,8.8,,13.5,-1.2,-1.1,,,,,,,,,,,,,,,,,,115.4,110,,,,,,
ALT,01.10.1950 00:00,4.6,,8.8,-1.9,-1.7,,,,,,,,,,,,,,,,,,13.8,16,,,,,,
ALT,01.11.1950 00:00,0.6,,5.3,-0.4,-1.2,,,,,,,,,,,,,,,,,,220.9,272,,,,,,
ALT,01.12.1950 00:00,-3.4,,0.0,-2.3,-2.1,,,,,,,,,,,,,,,,,,26.6,32,,,,,,
ALT,01.01.1951 00:00,-1.6,,2.0,0.4,0.5,,,,,,,,,,,,,,,,,,120.8,173,,,,,,
ALT,01.02.1951 00:00,-0.5,,3.7,1.3,1.3,,,,,,,,,,,,,,,,,,168.6,285,,,,,,
ALT,01.03.1951 00:00,-0.5,,4.1,-2.0,-1.6,,,,,,,,,,,,,,,,,,107.1,148,,,,,,
ALT,01.04.1951 00:00,3.5,,8.6,-1.3,-0.9,,,,,,,,,,,,,,,,,,77.4,96,,,,,,
ALT,01.05.1951 00:00,7.0,,12.4,-1.6,-1.6,,,,,,,,,,,,,,,,,,111.9,95,,,,,,
ALT,01.06.1951 00:00,10.6,,15.6,-1.7,-1.4,,,,,,,,,,,,,,,,,,117.6,85,,,,,,
ALT,01.07.1951 00:00,11.9,,17.6,-1.3,-1.8,,,,,,,,,,,,,,,,,,102.4,73,,,,,,
ALT,01.08.1951 00:00,11.7,,16.9,-1.6,-1.7,,,,,,,,,,,,,,,,,,148.9,97,,,,,,
ALT,01.09.1951 00:00,9.7,,14.6,-0.1,-0.2,,,,,,,,,,,,,,,,,,52.7,50,,,,,,
ALT,01.10.1951 00:00,4.5,,8.7,-2.0,-1.8,,,,,,,,,,,,,,,,,,47.0,56,,,,,,
ALT,01.11.1951 00:00,3.7,,7.8,2.1,1.9,,,,,,,,,,,,,,,,,,144.4,178,,,,,,
ALT,01.12.1951 00:00,-3.0,,0.9,-1.4,-1.7,,,,,,,,,,,,,,,,,,41.3,50,,,,,,
ALT,01.01.1952 00:00,-4.3,,-0.3,-1.9,-2.2,,,,,,,,,,,,,,,,,,76.5,109,,,,,,
ALT,01.02.1952 00:00,-4.3,,-0.8,-3.2,-2.5,,,,,,,,,,,,,,,,,,118.9,201,,,,,,
ALT,01.03.1952 00:00,1.1,,5.6,-0.5,0.0,,,,,,,,,,,,,,,,,,108.8,151,,,,,,
ALT,01.04.1952 00:00,5.2,,10.7,0.8,0.8,,,,,,,,,,,,,,,,,,40.4,50,,,,,,
ALT,01.05.1952 00:00,8.3,,14.2,0.2,-0.3,,,,,,,,,,,,,,,,,,52.6,45,,,,,,
ALT,01.06.1952 00:00,11.6,,17.2,-0.1,-0.4,,,,,,,,,,,,,,,,,,92.3,67,,,,,,
ALT,01.07.1952 00:00,14.2,,19.8,0.9,0.5,,,,,,,,,,,,,,,,,,134.0,95,,,,,,
ALT,01.08.1952 00:00,12.5,,18.2,-0.3,-0.9,,,,,,,,,,,,,,,,,,94.4,61,,,,,,
ALT,01.09.1952 00:00,7.3,,11.6,-3.1,-2.6,,,,,,,,,,,,,,,,,,93.8,89,,,,,,
ALT,01.10.1952 00:00,4.4,,8.6,-2.1,-1.9,,,,,,,,,,,,,,,,,,121.0,144,,,,,,
ALT,01.11.1952 00:00,-0.9,,3.4,-2.3,-2.7,,,,,,,,,,,,,,,,,,195.1,240,,,,,,
ALT,01.12.1952 00:00,-2.0,,0.9,-1.4,-0.7,,,,,,,,,,,,,,,,,,111.0,133,,,,,,
ALT,01.01.1953 00:00,-5.4,0.4,-2.0,-3.6,-3.3,-4.6,,,,,,,,,,,,,,,,,45.3,65,,,,,,
ALT,01.02.1953 00:00,-4.3,3.0,-0.6,-3.0,-2.5,-3.4,,,,,,,,,,,,,,,,,23.3,39,,,,,,
ALT,01.03.1953 00:00,-0.8,12.6,5.1,-1.0,-1.9,1.8,,,,,,,,,,,,,,,,,12.9,18,,,,,,
ALT,01.04.1953 00:00,4.4,15.2,9.9,0.0,0.0,0.2,,,,,,,,,,,,,,,,,93.4,115,,,,,,
ALT,01.05.1953 00:00,7.9,20.2,13.9,-0.1,-0.7,0.9,,,,,,,,,,,,,,,,,100.3,86,,,,,,
ALT,01.06.1953 00:00,10.1,19.3,14.8,-2.5,-1.9,-3.1,,,,,,,,,,,,,,,,,185.6,134,,,,,,
ALT,01.07.1953 00:00,12.8,23.5,17.9,-1.0,-0.9,-0.6,,,,,,,,,,,,,,,,,132.4,94,,,,,,
ALT,01.08.1953 00:00,11.7,22.0,16.7,-1.8,-1.7,-1.6,,,,,,,,,,,,,,,,,78.1,51,,,,,,
ALT,01.09.1953 00:00,10.4,20.6,15.2,0.5,0.5,1.2,,,,,,,,,,,,,,,,,71.8,68,,,,,,
ALT,01.10.1953 00:00,6.8,14.6,10.8,0.1,0.5,-0.3,,,,,,,,,,,,,,,,,89.2,106,,,,,,
ALT,01.11.1953 00:00,0.1,7.2,3.8,-1.9,-1.7,-1.9,,,,,,,,,,,,,,,,,23.9,29,,,,,,
ALT,01.12.1953 00:00,-0.6,7.3,3.3,1.0,0.7,1.9,,,,,,,,,,,,,,,,,36.5,44,,,,,,
ALT,01.01.1954 00:00,-4.8,1.3,-1.5,-3.1,-2.7,-3.7,,,,,,,,,,,,,,,,,128.9,184,,,,,,
ALT,01.02.1954 00:00,-3.0,2.5,0.1,-2.3,-1.2,-3.9,,,,,,,,,,,,,,,,,56.6,96,,,,,,
ALT,01.03.1954 00:00,1.4,12.1,6.6,0.5,0.3,1.3,,,,,,,,,,,,,,,,,19.8,27,,,,,,
ALT,01.04.1954 00:00,2.0,10.4,6.4,-3.5,-2.4,-4.6,,,,,,,,,,,,,,,,,105.3,130,,,,,,
ALT,01.05.1954 00:00,6.4,17.1,11.5,-2.5,-2.2,-2.2,,,,,,,,,,,,,,,,,96.4,82,,,,,,
ALT,01.06.1954 00:00,10.3,20.8,15.9,-1.4,-1.7,-1.6,,,,,,,,,,,,,,,,,116.2,84,,,,,,
