reference_timestamp,ths200m0,th9120mv,rhs150m0,rh9120mv,shs000m0,sh9120mv
01.06.1935 00:00,19.0,0.0,25.6,53,18350.0,120.0
01.07.1935 00:00,19.8,-0.8,36.4,59,21266.0,131.0
01.08.1935 00:00,16.9,-3.0,77.4,130,14651.0,98.0
01.09.1935 00:00,14.8,-0.9,64.3,171,14955.0,120.0
01.10.1935 00:00,9.2,-1.5,82.8,193,4932.0,51.0
01.11.1935 00:00,4.7,-0.3,44.5,88,4434.0,77.0
01.12.1935 00:00,-2.0,-2.9,139.6,206,1638.0,40.0
01.01.1936 00:00,3.0,2.5,97.4,188,2825.0,50.0
01.02.1936 00:00,1.6,-0.7,62.7,155,6840.0,87.0
01.03.1936 00:00,7.0,-0.2,12.5,34,9283.0,82.0
01.04.1936 00:00,8.3,-3.0,42.9,127,7822.0,62.0
01.05.1936 00:00,14.6,-0.7,25.0,48,14614.0,106.0
01.06.1936 00:00,16.4,-2.6,27.9,58,9830.0,64.0
01.07.1936 00:00,17.4,-3.2,60.8,98,12384.0,76.0
01.08.1936 00:00,17.4,-2.5,27.1,45,15522.0,104.0
01.09.1936 00:00,14.2,-1.5,103.7,276,8826.0,71.0
01.10.1936 00:00,5.7,-5.0,24.7,58,9224.0,96.0
01.11.1936 00:00,3.2,-1.8,50.5,100,5419.0,95.0
01.12.1936 00:00,0.4,-0.5,37.0,55,5835.0,142.0
01.01.1937 00:00,1.8,1.3,39.2,76,5209.0,93.0
01.02.1937 00:00,3.2,0.9,132.3,327,2702.0,34.0
01.03.1937 00:00,3.7,-3.5,59.2,160,6308.0,56.0
01.04.1937 00:00,9.7,-1.6,33.3,99,11339.0,90.0
01.05.1937 00:00,15.3,0.0,41.9,81,14231.0,103.0
01.06.1937 00:00,17.9,-1.1,40.1,83,14425.0,95.0
01.07.1937 00:00,19.4,-1.2,30.9,50,17212.0,106.0
01.08.1937 00:00,18.3,-1.6,43.9,74,13018.0,87.0
01.09.1937 00:00,13.8,-1.9,25.3,67,9708.0,78.0
01.10.1937 00:00,10.2,-0.5,18.9,44,7255.0,76.0
01.11.1937 00:00,3.3,-1.7,23.5,47,6496.0,113.0
01.12.1937 00:00,-2.6,-3.5,58.2,86,4131.0,101.0
01.01.1938 00:00,-1.1,-1.6,73.3,142,4007.0,71.0
01.02.1938 00:00,-0.4,-2.7,17.8,44,7996.0,102.0
01.03.1938 00:00,7.8,0.6,5.3,14,14524.0,129.0
01.04.1938 00:00,7.9,-3.4,2.9,9,15976.0,127.0
01.05.1938 00:00,12.5,-2.8,22.9,44,10642.0,77.0
01.06.1938 00:00,18.5,-0.5,63.7,132,16618.0,109.0
01.07.1938 00:00,18.3,-2.3,73.0,118,15252.0,94.0
01.08.1938 00:00,17.9,-2.0,66.6,112,13989.0,93.0
01.09.1938 00:00,14.8,-0.9,33.7,90,8753.0,70.0
01.10.1938 00:00,9.1,-1.6,31.5,74,9589.0,100.0
01.11.1938 00:00,5.3,0.3,45.0,89,7476.0,130.0
01.12.1938 00:00,-0.7,-1.6,26.5,39,2812.0,69.0
01.01.1939 00:00,0.2,-0.3,63.3,122,4152.0,74.0
01.02.1939 00:00,2.0,-0.3,3.2,8,8007.0,102.0
01.03.1939 00:00,2.2,-5.0,47.7,129,8531.0,76.0
01.04.1939 00:00,11.1,-0.2,18.7,55,10566.0,84.0
01.05.1939 00:00,11.5,-3.8,44.3,85,8676.0,63.0
01.06.1939 00:00,17.6,-1.4,38.6,80,12434.0,82.0
01.07.1939 00:00,17.5,-3.1,44.4,72,15068.0,93.0
01.08.1939 00:00,17.8,-2.1,58.5,98,12444.0,83.0
01.09.1939 00:00,13.7,-2.0,23.7,63,11273.0,90.0
01.10.1939 00:00,8.2,-2.5,84.5,197,4561.0,48.0
01.11.1939 00:00,5.4,0.4,88.5,176,3501.0,61.0
01.12.1939 00:00,-0.6,-1.5,27.2,40,4230.0,103.0
01.01.1940 00:00,-4.4,-4.9,41.2,80,4137.0,74.0
01.02.1940 00:00,1.4,-0.9,77.0,191,5146.0,66.0
01.03.1940 00:00,5.0,-2.2,73.7,200,9240.0,82.0
01.04.1940 00:00,9.6,-1.7,49.8,148,11896.0,94.0
01.05.1940 00:00,14.0,-1.3,33.1,64,14620.0,106.0
01.06.1940 00:00,16.6,-2.4,47.2,98,13204.0,87.0
01.07.1940 00:00,17.7,-2.9,73.7,119,14757.0,91.0
01.08.1940 00:00,16.9,-3.0,27.4,46,16865.0,113.0
01.09.1940 00:00,14.1,-1.6,87.9,234,10780.0,86.0
01.10.1940 00:00,8.4,-2.3,78.2,183,8206.0,86.0
01.11.1940 00:00,4.1,-0.9,63.7,126,5269.0,92.0
01.12.1940 00:00,-6.4,-7.3,65.5,97,3394.0,83.0
01.01.1941 00:00,-2.8,-3.3,43.0,83,2845.0,51.0
01.02.1941 00:00,1.1,-1.2,50.0,124,5294.0,67.0
01.03.1941 00:00,5.8,-1.4,20.0,54,11646.0,103.0
01.04.1941 00:00,8.5,-2.8,17.6,52,11589.0,92.0
01.05.1941 00:00,10.9,-4.4,46.3,89,12562.0,91.0
01.06.1941 00:00,17.5,-1.5,36.4,76,15841.0,104.0
01.07.1941 00:00,19.9,-0.7,15.2,25,17161.0,105.0
01.08.1941 00:00,16.1,-3.8,81.5,137,13043.0,87.0
01.09.1941 00:00,13.8,-1.9,6.1,16,13519.0,108.0
01.10.1941 00:00,7.8,-2.9,42.3,99,7547.0,79.0
01.11.1941 00:00,2.5,-2.5,25.6,51,4944.0,86.0
01.12.1941 00:00,-2.2,-3.1,17.2,25,5995.0,146.0
01.01.1942 00:00,-4.5,-5.0,88.5,171,2695.0,48.0
01.02.1942 00:00,-3.8,-6.1,4.6,11,5377.0,69.0
01.03.1942 00:00,7.0,-0.2,15.8,43,9064.0,80.0
01.04.1942 00:00,10.4,-0.9,27.4,81,11953.0,95.0
01.05.1942 00:00,14.1,-1.2,24.7,48,13776.0,100.0
01.06.1942 00:00,18.0,-1.0,35.5,74,17270.0,113.0
01.07.1942 00:00,19.0,-1.6,44.1,71,15994.0,98.0
01.08.1942 00:00,18.1,-1.8,68.6,115,15043.0,100.0
01.09.1942 00:00,15.9,0.2,42.0,112,11644.0,93.0
01.10.1942 00:00,11.2,0.5,49.6,116,9499.0,99.0
01.11.1942 00:00,1.4,-3.6,19.3,38,6367.0,111.0
01.12.1942 00:00,0.7,-0.2,26.9,40,4826.0,118.0
01.01.1943 00:00,-0.9,-1.4,89.1,172,4798.0,86.0
01.02.1943 00:00,1.7,-0.6,29.1,72,8068.0,103.0
01.03.1943 00:00,7.8,0.6,14.5,39,11288.0,100.0
01.04.1943 00:00,10.9,-0.4,30.2,90,14205.0,113.0
01.05.1943 00:00,15.4,0.1,32.1,62,14436.0,105.0
01.06.1943 00:00,16.8,-2.2,57.3,119,14770.0,97.0
01.07.1943 00:00,19.1,-1.5,26.6,43,15886.0,98.0
01.08.1943 00:00,19.8,-0.1,28.7,48,18430.0,123.0
01.09.1943 00:00,15.2,-0.5,41.1,109,9812.0,79.0
01.10.1943 00:00,11.0,0.3,0.0,0,11631.0,121.0
01.11.1943 00:00,2.2,-2.8,70.5,140,5388.0,94.0
01.12.1943 00:00,-0.2,-1.1,22.0,32,5094.0,124.0
01.01.1944 00:00,-0.6,-1.1,39.9,77,6861.0,122.0
01.02.1944 00:00,-2.4,-4.7,35.7,88,7245.0,92.0
01.03.1944 00:00,2.9,-4.3,17.7,48,10416.0,92.0
01.04.1944 00:00,11.7,0.4,8.1,24,13719.0,109.0
01.05.1944 00:00,14.7,-0.6,8.9,17,17556.0,128.0
01.06.1944 00:00,17.2,-1.8,22.1,46,15469.0,101.0
01.07.1944 00:00,18.7,-1.9,55.2,89,15334.0,94.0
01.08.1944 00:00,20.5,0.6,63.2,106,15282.0,102.0
01.09.1944 00:00,13.2,-2.5,45.8,122,8467.0,68.0
01.10.1944 00:00,7.6,-3.1,61.1,143,6361.0,66.0
01.11.1944 00:00,1.6,-3.4,257.4,511,4011.0,70.0
01.12.1944 00:00,-3.1,-4.0,118.1,174,3821.0,93.0
01.01.1945 00:00,-6.9,-7.4,54.3,105,4928.0,88.0
01.02.1945 00:00,2.4,0.1,69.9,173,6851.0,87.0
01.03.1945 00:00,6.7,-0.5,10.4,28,12191.0,108.0
01.04.1945 00:00,11.7,0.4,29.9,89,15087.0,120.0
