year-month,total precipitation (mm),mean temperature (°C)
1973-05,57.6,14.2
1973-06,181.0,16.0
1973-07,174.7,16.7
1973-08,107.2,18.6
1973-09,70.0,14.7
1973-10,100.3,7.9
1973-11,62.1,3.5
1973-12,69.7,1.8
1974-01,72.4,3.2
1974-02,72.7,4.2
1974-03,36.8,7.6
1974-04,34.6,8.5
1974-05,110.9,11.4
1974-06,94.5,14.3
1974-07,124.1,17.0
1974-08,111.1,18.0
1974-09,82.3,13.6
1974-10,137.8,5.2
1974-11,108.8,5.1
1974-12,122.7,3.3
1975-01,100.0,4.6
1975-02,26.0,2.1
1975-03,70.8,4.1
1975-04,119.2,7.3
1975-05,61.9,12.4
1975-06,159.2,14.1
1975-07,129.5,17.1
1975-08,133.8,17.1
1975-09,100.5,16.6
1975-10,82.2,7.6
1975-11,123.3,4.4
1975-12,7.8,0.0
1976-01,55.3,1.3
1976-02,14.9,2.1
1976-03,21.7,3.9
1976-04,119.7,7.9
1976-05,83.6,13.2
1976-06,112.2,17.5
1976-07,207.2,18.2
1976-08,68.4,15.6
1976-09,93.1,12.8
1976-10,102.4,11.4
1976-11,69.8,5.0
1976-12,88.7,-0.1
1977-01,43.4,2.0
1977-02,104.8,5.4
1977-03,75.5,7.4
1977-04,191.7,6.2
1977-05,42.3,12.4
1977-06,69.9,15.6
1977-07,195.9,16.7
1977-08,125.9,15.6
1977-09,55.6,12.6
1977-10,85.6,10.4
1977-11,108.7,4.9
1977-12,63.9,1.5
1978-01,77.2,1.2
1978-02,115.1,1.6
1978-03,110.9,6.0
1978-04,34.4,7.6
1978-05,153.2,11.0
1978-06,126.2,14.5
1978-07,120.2,16.4
1978-08,167.8,15.5
1978-09,85.5,13.2
1978-10,74.5,8.2
1978-11,8.4,2.5
1978-12,44.7,2.8
1979-01,37.7,-1.1
1979-02,49.3,3.4
1979-03,178.6,5.4
1979-04,73.5,6.6
1979-05,72.8,12.4
1979-06,173.3,15.4
1979-07,48.4,16.8
1979-08,168.3,15.0
1979-09,96.0,13.3
1979-10,101.5,11.3
1979-11,137.1,3.5
1979-12,120.1,3.5
1980-01,81.4,-0.5
1980-02,80.1,3.9
1980-03,57.9,5.2
1980-04,85.7,5.8
1980-05,38.5,10.4
1980-06,160.1,13.6
1980-07,157.8,14.5
1980-08,117.3,17.4
1980-09,46.7,14.4
1980-10,137.4,9.2
1980-11,22.5,3.3
1980-12,62.4,-1.1
1981-01,112.8,-1.3
1981-02,25.5,-1.2
1981-03,134.7,7.3
1981-04,17.9,9.4
1981-05,96.8,12.4
1981-06,103.1,15.8
1981-07,193.6,15.9
1981-08,97.3,17.0
1981-09,222.0,14.3
1981-10,173.9,9.6
1981-11,62.8,4.0
1981-12,146.8,1.7
1982-01,149.9,1.0
1982-02,22.1,1.4
1982-03,51.2,4.4
1982-04,47.3,7.2
1982-05,53.4,12.9
1982-06,144.6,16.7
1982-07,111.9,19.1
1982-08,142.5,16.6
1982-09,88.8,16.0
1982-10,67.7,9.8
1982-11,45.2,6.5
1982-12,66.5,2.7
1983-01,110.0,2.3
1983-02,58.1,-0.6
1983-03,37.1,5.7
1983-04,88.8,9.9
1983-05,207.0,11.0
1983-06,93.6,16.6
1983-07,32.3,21.9
1983-08,110.9,17.8
1983-09,102.3,14.5
1983-10,51.9,10.0
1983-11,106.5,3.9
1983-12,61.4,1.9
1984-01,80.6,1.4
1984-02,79.8,0.4
1984-03,31.5,2.7
1984-04,47.6,7.4
1984-05,97.6,10.6
1984-06,95.5,15.3
1984-07,121.9,17.9
1984-08,120.8,16.7
1984-09,218.4,12.6
1984-10,77.2,10.1
1984-11,47.7,8.1
1984-12,58.5,2.2
1985-01,69.5,-3.5
1985-02,87.2,0.0
1985-03,44.4,3.8
1985-04,73.4,8.4
1985-05,104.9,12.8
1985-06,145.9,14.2
1985-07,106.7,19.2
1985-08,161.5,17.1
1985-09,59.3,15.0
1985-10,2.4,10.6
1985-11,72.2,2.5
1985-12,17.0,3.4
1986-01,135.5,1.8
